_id,singkat,hasil
260,comunityny,komunitanya
261,concept,konsep
262,concert,konser
263,condition,kondisi
264,conditioning,mengkondisikan
265,conect,menghubungkan
266,conection,koneksi
267,confident,yakin
268,configuration,susunan
269,confirm,konfirmasi
270,confius,bingung
271,confuse,bingung
272,confused,bingung
273,congralts,(ucapan) selamat
274,Congrat,(ucapan) selamat
275,congrate,(ucapan) selamat
276,congrats,(ucapan) selamat
277,consept,konsep
278,consider,mempertimbangkan
279,consult,berunding
280,consultants,konsultan
281,consumer,konsumen
282,contac,kontak
283,contact,kontak
284,content,isi
285,contest,kontes
286,contoe,contohnya
287,contra,kontra
288,contract,kontrak
289,control,kontrol
290,convention,konvensi
291,Convoy,konvoi
292,cook,memasak
293,copas,copy paste
294,copot,lepas
295,corner,sudut
296,corners,sudut
297,corola,corolla
298,correction,koreksi
299,corridor,koridor
300,cosmetics,kosmetik
301,cost,ongkos
302,costs,ongkos
303,costum,kostum
304,could,dapat
305,council,dewan
306,countdown,perhitungan detik-detik terakhir
307,counter,alat perhitungan
308,country,negara
309,countryside,daerah pedalaman
310,couple,pasangan
311,cousin,sepupu
312,cow,cowok
313,cowo,cowok
314,cpt,cepat
315,cr,cara
316,crazy,gila
317,cri,cari
318,crt,cerita
319,crtx,ceritanya
320,cucok,cocok
321,cukop,cukup
322,cuman,cuma
323,cumn,hanya
324,curcol,curhat
325,cwek,cewek
326,cwo,cowok
327,cwok,cowok
328,cyus,serius
329,dah,sudah
330,dalan,jalan
331,dangerous,bahaya
332,dasyat,dahsyat
333,date,tanggal
334,dateng,datang
335,datenglah,datanglah
336,day,hari
337,dbls,dibalas
338,dbnt,dibantu
339,ddlm,didalam
340,dduk,duduk
341,defence,pertahanan
342,defend,membela
343,deg2an,deg-degan
344,degdeg,deg-degan
345,degdeg-an,deg-degan
346,degdegan,deg-degan
347,degdegser,deg-degan
348,deket,dekat
349,desek2an,desak-desakan
350,desekan,desakan
351,dewe,sendiri
352,dftar,daftar
353,dg,dengan
354,dgn,dengan
355,dgr,dengar
356,dgrin,dengarkan
357,dgrn,dengarkan
358,dh,sudah
359,dibangain,dibanggakan
360,dibls,dibalas
361,digangu,diganggu
362,diizinin,diberi izin
363,dikasi,dikasih
364,dikasinya,dikasihnya
365,dikit,sedikit
366,dikls,di kelas
367,diliat,dilihat
368,diluk,sebentar
369,dimana2,dimana-mana
370,dimkn,dimakan
371,dimksd,dimaksud
372,dimn2,dimana-mana
373,dimna,dimana
374,dinstal,diinstall
375,dipake,dipakai
376,dipangilnya,dipanggilnya
377,dipke,dipakai
378,disawat,dilempar
379,disblah,disebelah
380,discon,diskon
381,discont,diskon
382,discount,diskon
383,disebrang,diseberang
384,disebuah,disebuah
385,disekolah,di sekolah
386,disekolahan,di sekolahan
387,disekolahin,disekolahkan
388,diselengarakan,diselenggarakan
389,diselimutin,diselimuti
390,disenayan,di senayan
391,disenen,di senen
392,disentul,di sentul
393,diservice,diservis
394,dishub,Dinas Perhubungan
395,dishubkominfo,Dinas Perhubungan Komunikasi dan Informatika
396,disi,diisi
397,disia2in,disia-siakan
398,disimpen,disimpan
399,disimpng,disimpang
400,disinih,disini
401,disklh,di sekolah
402,diskonnye,diskonnya
403,diskony,diskonnya
404,diskonya,diskonnya
405,Diskonye,diskonnya
406,disni,disini
407,disono,disana
408,disonoh,disana
409,distribution,distribusi
410,district,daerah
411,distroy,hancur
412,disturb,ganggu
413,disurga,di surga
414,disurh,disuruh
415,disuru,disuruh
416,ditabra,ditabrak
417,ditaktir,ditraktir
418,ditaman,di taman
419,ditambahin,ditambahkan
420,ditanah,di tanah
421,ditangepin,ditanggapin
422,ditanggepin,ditanggapin
423,ditangkep,ditangkap
424,ditangkepinnya,ditangkapinnya
425,ditangkepinya,ditangkapinnya
426,ditangung,ditanggung
427,ditaro,ditaruh
428,ditarok,ditaruh
429,ditelen,ditelan
430,ditemeni,ditemani
431,ditemenin,ditemani
432,diteraktir,ditraktir
433,ditingal,ditinggal
434,ditingali,ditinggali
435,ditingikan,ditinggikan
436,ditkarkan,ditukarkan
437,ditlp,ditelepon
438,ditmpt,di tempat
439,ditngah,ditengah
440,ditngguin,ditungguin
441,ditnguin,ditunggu
442,ditnjkn,ditunjukkan
443,ditoko,di toko
444,ditrakter,ditraktir
445,ditrotoar,di trotoar
446,ditugu,di tugu
447,dituker,ditukar
448,ditukoke,dibelikan
449,ditukokno,dibelikan
450,ditumbasne,dibelikan
451,ditumpaki,dinaiki
452,diTunas,di tunas
453,ditunggu2,ditunggu-tunggu
454,ditungu,ditunggu
455,ditungu2,ditunggu-tunggu
456,ditunguin,ditunggu
457,ditunjukan,ditunjukkan
458,ditunjukin,ditunjukkan
459,diturunkn,diturunkan
460,diwarnet,di warnet
461,diweekend,di akhir pekan
462,diwolak,dibalik
463,djagain,dijaga
464,djemput,dijemput
465,dJkt,di Jakarta
466,djln,di jalan
467,dkasih,dikasih
468,dkat,dekat
469,dkatkan,dekatkan
470,dket,dekat
471,dketan,dekat
472,dkit,sedikit
473,dkk,dan kawan-kawan
474,dklinikk,di klinik
475,dkluarin,dikeluarkan
476,dkmps,di kampus
477,dkomplain,dikomplain
478,dksh,dikasih
479,dkt,dekat
480,dkung,dukung
481,dl,dulu
482,dlakukan,dilakukan
483,dlakukn,dilakukan
484,dlam,dalam
485,dlanjutin,dilanjutkan
486,dliat,dilihat
487,dliburkan,diliburkan
488,dll,dan lain-lain
489,dlm,dalam
490,dlnjutin,dilanjutkan
491,dlu,dulu
492,dluan,duluan
493,dmainkan,dimainkan
494,dmakan,dimakan
495,dmam,demam
496,dmamX,demamnya
497,dman,dimana
498,dmana,dimana
499,dminta,diminta
500,dmn,dimana
501,dmna,dimana
502,dmna2,dimana-mana
503,dmnanya,dimananya
504,dmnnya,dimananya
505,dmno,dimana
506,dmnt,diminta
507,dmnya,dimananya
508,dmobil,di mobil
509,dmonas,di monas
510,dmtr,di motor
511,dn,dan
512,dng,dengan
513,dngan,dengan
514,dnger,dengar
515,dnger2,denga-dengar
516,dngerin,dengarkan
517,dnggo,dipakai
518,dngin,dingin
519,dnginan,dinginan
520,dngn,dengan
521,doain,doakan
522,doane,doanya
523,doang,saja
524,doank,saja
525,dolali,pada lupa
526,dolan,bermain
527,donload,unduh
528,donlod,unduh
529,donlot,unduh
530,dont,jangan
531,dpat,dapat
532,dpatkan,dapatkan
533,dpet,dapat
534,dpn,depan
535,dpstikn,dipastikan
536,dpt,dapat
537,dr,dari
538,dri,dari
539,dripada,daripada
540,dripd,daripada
541,drmh,di rumah
542,drmn,darimana
543,drpd,daripada
544,drtd,daritadi
545,dsana,disana
546,dsar,dasar
547,dsb,dan sebagainya
548,dsini,disini
549,dsitu,disitu
550,dskolah,di sekolah
551,dsktr,di sekitar
552,dsmber,desember
553,dsna,disana
554,dsni,disini
555,dsno,disana
556,dsruh,disuruh
557,dst,dan seterusnya
558,dtang,datang
559,dteng,datang
560,dtg,datang
561,dtgin,datangin
562,dturunkn,diturunkan
563,duitna,duitnya
564,during,selama
565,duwe,punya
566,duwit,duit
567,dy,dia
568,elo,kamu
569,elu,kamu
570,emg,emang
571,emng,emang
572,emoh,tidak mau
573,endiri,sendiri
574,endonesa,Indonesia
575,enelaan,beneran
576,engak,tidak
577,engga,tidak
578,enggk,tidak
579,engk,tidak
580,enk,enak
581,enough,cukup
582,entar,nanti
583,enteng,ringan
584,enyak,enak
585,etc,dan lain-lain
586,event,acara
587,every,setiap
588,everybody,semua orang
589,everything,segala sesuatu
590,everywhere,dimanapun
591,ex,contoh
592,excelent,bagus
593,exit,keluar
594,face,muka
595,fact,fakta
596,failed,gagal
597,father,ayah
598,fee,biaya
599,ferari,ferrari
600,filem,film
601,finally,akhirnya
602,focus,fokus
603,folback,follow back
604,folbacknya,follow back nya
605,folbc,follow back
606,folbcak,follow back
607,folbek,follow back
608,folbeknya,follow back nya
609,follback,follow back
610,follbacknya,follow back nya
611,follbc,follow back
612,follo,follow
613,followbak,follow back
614,folo,follow
615,folow,follow
616,folowback,follow back
617,folowbak,follow back
618,folowbcak,follow back
619,football,sepak bola
620,for,untuk
621,forged,lupa
622,forget,lupa
623,forgot,lupa
624,foto2,foto-foto
625,friday,jumat
626,friend,teman
627,frofil,profil
628,from,dari
629,function,fungsi
630,funny,lucu
631,funtion,fungsi
632,funy,lucu
633,g,tidak
634,ga,tidak
635,gaada,tidak ada
636,gaakan,tidak akan
637,gaasik,tidak asik
638,gabakal,tak akan
639,gabareng,tidak bareng
640,gabebas,tidak bebas
641,gabeda,tidak beda
642,gaberani,tidak berani
643,gabilang,tidak bilang
644,gabisa,tidak bisa
645,gabole,tidak boleh
646,gaboleh,tidak boleh
647,gabosen,tidak bosen
648,gabs,tidak bisa
649,gad,tidak ada
650,gada,tidak ada
651,gadaiin,gadaikan
652,Gadapet,tidak dapat
653,gadein,gadaikan
654,gadeket,tidak dekat
655,gadiajak,tidak diajak
656,gadibales,tidak dibalas
657,gae,membuat
658,gaean,pekerjaan
659,gaenak,tidak enak
660,gaene,biasanya
661,gag,tidak
662,gahoel,gaul
663,gahol,gaul
664,gaikut,tidak ikut
665,gaikutaaan,tidak ikutan
666,gaikutan,tidak ikutan
667,gaiso,tidak bisa
668,gajadi,tidak jadi
669,gajalan,tidak jalan
670,gajanji,tidak janji
671,gajauh,tidak jauh
672,Gajd,tidak jadi
673,Gaje,tidak jelas
674,gajelas,tidak jelas
675,gajenguk,tidak menjenguk
676,gak,tidak
677,gakada,tidak ada
678,Gakan,tidak akan
679,gakbilang,tidak bilang
680,gakbisa,tidak bisa
681,gakdeh,tidak deh
682,gakenak,tidak enak
683,gakjadi,tidak jadi
684,gakmau,tidak mau
685,gakpapa,tidak apa-apa
686,gakpenting,tidak penting
687,gakpernah,tidak pernah
688,gaksabar,tidak sabar
689,gaksemua,tidak semua
690,gaksih,tidak sih
691,gaktau,tidak tau
692,gaktuh,tidah tuh
693,gamain,tidak main
694,gamales,tidak malas
695,gamao,tidak mau
696,gamasuk,tidak masuk
697,gamau,tidak mau
698,gamsk,tidak masuk
699,gamuat,tidak muat
700,gamungkin,tidak mungkin
701,gan,juragan
702,gangajak,tidak mengajak
703,Gangerti,tidak mengerti
704,ganguin,gangguin
705,gantiin,gantikan
706,gantinen,ganti saja
707,gaosah,tidak usah
708,gapada,tidak pada
709,gapaham,tidak paham
710,gapake,tidak pakai
711,gapapa,tidak apa-apa
712,gapercaya,tidak percaya
713,gaperlu,tidak perlu
714,gapernah,tidak pernah
715,gapo,tidak apa-apa
716,gaptek,gagap teknologi
717,gapulang,tidak pulang
718,gara2,gara-gara
719,gasabar,tidak sabar
720,gasalah,tidak salah
721,gasanggup,tidak sanggup
722,gasecerah,tidak secerah
723,gasedingin,tidak sedingin
724,gasekeras,tidak sekeras
725,gaseru,tidak seru
726,gasia2,tidak sia-sia
727,gasih,tidak sih
728,gasik,datang lebih awal
729,gasuka,tidak suka
730,gatau,tidak tau
731,gatel,gatal
732,gathel,gatal
733,gatuh,tidak tuh
734,Gausa,tidak usah
735,gausah,tidak usah
736,gaush,tidak usah
737,gawake,bawakan
738,gawakne,bawakan
739,gayalu,gayamu
740,gbawa,tidak bawa
741,gbk,Gelora Bung Karno
742,gblg,tidak bilang
743,gblk,tidak balik
744,gbs,tidak bisa
745,gbsa,tidak bisa
746,gda,tidak ada
747,gebetan,pasangan
748,gebetn,pasangan
749,geblek,bodoh
750,gede,besar
751,gedenya,besarnya
752,gedhe2an,besar-besaran
753,gelem,bersedia
754,gelo,gila
755,gendeng,bodoh
756,gendheng,bodoh
757,gendud,gemuk
758,geto,begitu
759,getoh,begitu
760,gg,tidak
761,gilak,gila
762,gile,gila
763,gimana,bagaimana
764,gimane,bagaimana
765,gimna,bagaimana
766,gini,begini
767,gitu,begitu
768,gituan,begituan
769,gituh,begitu
770,gjd,tidak jadi
771,gjdi,tidak jadi
772,gjls,tidak jelas
773,gjnji,tidak janji
774,gk,tidak
775,gmbr,gambar
776,gmn,bagaimana
777,gmna,bagaimana
778,gmne,bagaimana
779,gnti,ganti
780,goceng,lima ribu
781,godan,godaan
782,good luck,semoga berhasil
783,goodmorning,selamat pagi
784,goro2,gara-gara
785,gpl,tidak pakai lama
786,gpp,tidak-apa-apa
787,gpplah,tidak apa-apalah
788,gr2,gara-gara
789,gra,gara-gara
790,grade,tingkat
791,gt,begitu
792,gtu,begitu
793,gtw,tidak tau
794,gua,saya
795,gue,saya
796,gueh,saya
797,guweh,saya
798,gw,saya
799,gwe,saya
800,gx,tidak
801,gy,sedang
802,hany,hanya
803,hape,hp
804,hapi,senang
805,happy,senang
806,happybday,selamat ulang tahun
807,hareem,perempuan
808,harg,harga
809,hargnya,harganya
810,hargonyo,harganya
811,hasek,asyik
812,hawong,lhawong
813,hbd,selamat ulang tahun
814,hbs,habis
815,hdiah,hadiah
816,hdiahnya,hadiahnya
817,hdirkan,hadirkan
818,hdp,hidup
819,hdpn,hadapan
820,hdup,hidup
821,heng,error
822,hidp,hidup
823,hidpmu,hidupmu
824,hinga,hingga
825,hmpas,hempas
826,hmpir,hampir
827,hntu,hantu
828,hny,hanya
829,hnya,hanya
830,Hoam,ngantuk
831,honest,jujur
832,hr,hari
833,hrapan,harapan
834,hrg,harga
835,hrga,harga
836,hrgnya,harganya
837,hri,hari
838,hrs,harus
839,hrsnya,harusnya
840,hrus,harus
841,hrz,harus
842,hsil,hasil
843,hsl,hasil
844,htelnya,hotelnya
845,htiku,hatiku
846,hub,hubungi
847,hungry,lapar
848,ibdah,ibadah
849,idung,hidung
850,ijin,izin
851,ijo,hijau
852,iki,ini
853,ikt,ikut
854,iktan,ikutan
855,iktn,ikutan
856,ikud,ikut
857,ilang,hilang
858,img,gambar
859,inbox,kotak masuk
860,inceran,incaran
861,include,termasuk
862,indh,indah
863,indo,indonesia
864,info,informasi
865,infonya,informasinya
866,information,informasi
867,informkan,informasikan
868,infox,informasinya
869,inget,ingat
870,inginya,inginnya
871,ingt,ingat
872,ingtn,ingatan
873,inovation,inovasi
874,inpo,informasi
875,inpoh,informasi
876,insaallah,insyaAllah
877,insyaa,insyaAllah
878,insyaaloh,insyaAllah
879,insyah,insyaAllah
880,insyalah,insyaAllah
881,intrnet,internet
882,invit,mengajak
883,invite,mengajak
884,invte,mengajak
885,io,iya
886,ireng,hitam
887,iseh,masih
888,isih,masih
889,isin,malu
890,isine,isinya
891,iso,bisa
892,isteri,istri
893,istrht,istirahat
894,isuk,pagi
895,itung,hitung
896,iy,iya
897,iyadah,iya dah
898,iyadeh,iya dah
899,iyadong,iya dong
900,iyadund,iya dong
901,iyah,iya
902,iyanih,iya nih
903,iyasih,iya sih
904,iyaw,iya
905,iye,iya
906,iyedah,iya dah
907,iyelah,iyalah
908,iyeu,iya
909,iyh,iya
910,iyo,iya
911,iyosih,iya sih
912,iyuh,iya
913,iyuwh,iya
914,j,saja
915,ja,saja
916,jabar,Jawa Barat
917,jadina,jadinya
918,jadinye,jadinya
919,jadul,jaman dulu
920,jadwalnye,jadwalnya
921,jahate,jahatnya
922,jakpus,Jakarta Pusat
923,jakrta,Jakarta
924,jaksel,Jakarta Selatan
925,jaktim,Jakarta Timur
926,jalan2,jalan-jalan
927,jalankn,jalankan
928,jalanya,jalannya
929,jamanna,jamannya
930,jamanny,jamannya
931,jamany,jamannya
932,jamanya,jamannya
933,jamanye,jamannya
934,jangn,jangan
935,japan,jepang
936,jare,kata
937,jaringanx,jaringannya
938,jaringn,jaringan
939,jateng,Jawa Tengah
940,jatoh,jatuh
941,jaz,jazz
942,jd,jadi
943,jdi,jadi
944,jdian,jadian
945,jenenge,namanya
946,jenengi,beri nama
947,jep,jeep
948,jg,juga
949,jga,juga
950,jgja,jogja
951,jgn,jangan
952,jgn2,jangan-jangan
953,jgnkan,jangankan
954,jht,jahat
955,jjur,jujur
956,jk,jika
957,jkrt,Jakarta
958,jkrta,Jakarta
959,jkt,Jakarta
960,jl,jalan
961,jlan2,jalan-jalan
962,jlas,jelas
963,jln,jalan
964,jln2,jalan-jalan
965,jls,jelas
966,jmbatan,jembatan
967,jmbtan,jembatan
968,jmin,jamin
969,jmlh,jumlah
970,jmn,jaman
971,jmpa,jumpa
972,jmpe,jumpa
973,jmpt,jemput
974,jmptnya,jemputnya
975,jo,jangan
976,jobseeker,pencari kerja
977,jri,jari
978,jringan,jaringan
979,jringn,jaringan
980,jrngn,jaringan
981,jtuh,jatuh
982,jua,juga
983,jug,juga
984,jugaj,juga
985,jugak,juga
986,jugo,juga
987,jwb,jawab
988,jwban,jawaban
989,jwbanny,jawabannya
990,jwbannya,jawabannya
991,jwbany,jawabannya
992,kabare,kabarnya
993,kabeh,semua
994,kacian,kasihan
995,kadieu,kesini
996,kaditu,kesitu
997,kaga,tidak
998,kagak,tidak
999,kagk,tidak
1000,kakean,kebanyakan
1001,kale,kali
1002,kalo,kalau
1003,kalu,kalau
1004,kapn,kapan
1005,kapolres,Kepala Kepolisian Resor
1006,karepmu,terserah kamu
1007,karna,karena
1008,karo,sama
1009,kaseep,ganteng
1010,kasi,kasih
1011,kasian,kasihan
1012,kata2,kata-kata
1013,kata2nya,kata-katanya
1014,katane,katanya
1015,katany,katanya
1016,kayak,seperti
1017,kbagusan,kebagusan
1018,kbar,kabar
1019,kbare,kabarnya
1020,kbarin,kabari
1021,kbeh,semua
1022,kbeli,terbeli
1023,kberngktn,keberangkatan
1024,kbhagiaan,kebahagiaan
1025,kbhagian,kebahagiaan
1026,kbr,kabar
1027,kbrin,kabari
1028,kbrnya,kabarnya
1029,kbtulan,kebetulan
1030,kbuka,terbuka
1031,kbun,kebun
1032,kcepatn,kecepatan
1033,kcil,kecil
1034,kcintaan,kecintaan
1035,kcintan,kecintaan
1036,kclakaan,kecelakaan
1037,kclakan,kecelakaan
1038,kcmata,kacamata
1039,kdepannya,kedepannya
1040,kdepanya,kedepannya
1041,kdg,terkadang
1042,kdg2,kadang-kadang
1043,kditu,kesitu
1044,kdlm,kedalam
1045,kdpan,kedepan
1046,kebeli,terbeli
1047,kebengkel,ke bengkel
1048,kebersamanya,kebersamaannya
1049,kebersehan,kebersihan
1050,kebnykn,kebanyakan
1051,kebo,kerbau
1052,kebrngkatan,keberangkatan
1053,kebudayan,kebudayaan
1054,kebulan,ke bulan
1055,kebumi,ke bumi
1056,kebut2an,kebut-kebutan
1057,kebwah,kebawah
1058,kecawa,kecewa
1059,kece,gaul
1060,kecel,capek
1061,kecelakaanya,kecelakaannya
1062,kecelakan,kecelakaan
1063,kecelakanya,kecelakaannya
1064,kecengan,pasangan
1065,kecepean,kecapean
1066,kecepetan,terlalu cepat
1067,kecerian,keceriaan
1068,kecian,kasihan
1069,kecimanggis,ke cimanggis
1070,kecimangis,ke cimanggis
1071,kecipondoh,ke cipondoh
1072,kedaerah,ke daerah
1073,kedatanganya,kedatangannya
1074,kedatengan,kedatangan
1075,kedawan,terlalu panjang
1076,kedeketan,terlalu dekat
1077,kedengeran,kedengaran
1078,kedpn,kedepan
1079,kedpnnya,kedepannya
1080,kedpnya,kedepannya
1081,kedtngan,kedatangan
1082,kedufan,ke dufan
1083,keenaken,keenakan
1084,kegedean,terlalu besar
1085,kegeden,terlalu besar
1086,kegembiran,kegembiraan
1087,kehadiranny,kehadirannya
1088,kehulu,ke hulu
1089,kehutan,ke hutan
1090,keidahan,keindahan
1091,keiklasan,keikhlasan
1092,keilangan,kehilangan
1093,keinget,teringat
1094,keinginanya,keinginannya
1095,keistimewan,keistimewaan
1096,keitung,terhitung
1097,kejadia,kejadian
1098,kejakarta,ke Jakarta
1099,kejar2an,kejar-kejaran
1100,kejauan,kejauhan
1101,kejayan,kejayaan
1102,kejepit,terjepit
1103,kejual,terjual
1104,kejuaran,kejuaraan
1105,kek,seperti
1106,kekalemanya,kekalemannya
1107,kekamar,ke kamar
1108,kekampus,ke kampus
1109,kekandang,ke kandang
1110,kekasur,ke kasur
1111,kekecewan,kekecewaan
1112,kekemayoran,ke kemayoran
1113,kekmana,bagaimana
1114,keknya,kayaknya
1115,kekontrakan,ke kontrakan
1116,kekos,ke kos
1117,kekosanku,ke kosanku
1118,kekota,ke kota
1119,kekuasan,kekuasaan
1120,kekumpul,terkumpul
1121,kekunci,terkunci
1122,kekuranganya,kekurangannya
1123,kekuras,terkuras
1124,kelakon,terlaksana
1125,kelaperan,kelaparan
1126,kelaut,ke laut
1127,keleta,kereta
1128,keliatan,kelihatan
1129,keliatannya,kelihatannya
1130,keliatanya,kelihatannya
1131,kelihatanya,kelihatannya
1132,kelindas,terlindas
1133,kelindes,terlindas
1134,kelja,kerja
1135,kelokasi,ke lokasi
1136,keluarin,keluarkan
1137,kemana2,kemana-mana
1138,kemarahanya,kemarahannya
1139,kembaranya,kembarannya
1140,kembgnkan,kembangkan
1141,kemendiknas,Kementerian Pendidikan Nasional
1142,kemenkes,Kementerian Kesehatan
1143,kemenkeu,Kementerian Keuangan
1144,kemenkominfo,Kementerian Komunikasi dan Informatika
1145,kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
1146,kemenong,kemana
1147,kemenpera,Kementerian Perumahan Rakyat
1148,kemenperin,Kementerian Perindustrian
1149,kementrian,Kementerian
1150,kemerdekan,kemerdekaan
1151,kemis,kamis
1152,kemonas,ke monas
1153,kemrin,kemarin
1154,kemulyaan,kemuliaan
1155,kemulyan,kemuliaan
1156,kemusium,ke museum
1157,kenalin,kenalkan
1158,kenang2an,kenang-kenangan
1159,kenang2ngan,kenang-kenangan
1160,kenanganya,kenangannya
1161,kenapah,kenapa
1162,kenapasi,kenapa ya
1163,kenape,kenapa
1164,kenceng,cepat
1165,kendaran,kendaraan
1166,kendaranya,kendaraannya
1167,kenderaan,kendaraan
1168,keno,kena
1169,kenp,kenapa
1170,kenpa,kenapa
1171,kenyatan,kenyataan
1172,kenyatanya,kenyataannya
1173,kepake,terpakai
1174,kepalanye,kepalanya
1175,kepangang,terpanggang
1176,kepanggang,terpanggang
1177,kepantai,ke pantai
1178,kepantainya,ke pantainya
1179,keparis,ke paris
1180,kepasar,ke pasar
1181,kepastianya,kepastiannya
1182,kepencar,terpencar
1183,kepencet,terpencet
1184,kepengen,ingin
1185,kepengenya,keinginannya
1186,kepengin,ingin
1187,kepercayan,kepercayaan
1188,kepercayanya,kepercayaannya
1189,kepilih,terpilih
1190,kepincut,terpincut
1191,kepinteran,kepintaran
1192,keponakanya,keponakannya
1193,kepotong,terpotong
1194,keprcayaan,kepercayaan
1195,keprcayan,kepercayaan
1196,kepribadianya,kepribadiannya
